"year"	"week"	"aveTemp"	"maxTemp"	"relHum"	"sunHours"	"precip"	"total"	"pos"	"R1total"	"R1pos"	"R2total"	"R2pos"	"R3total"	"R3pos"	"R4total"	"R4pos"	"R5total"	"R5pos"	"R6total"	"R6pos"	"R7total"	"R7pos"	"R8total"	"R8pos"
2001	34	18.5	25.6	72	49	19	91	73	10	9	17	11	16	13	6	6	12	7	5	5	10	10	4	3
2001	35	15.1	20.7	72	46	7	104	85	6	5	11	7	11	9	1	1	22	19	15	12	8	8	12	11
2001	36	13.3	19.3	75	35	35	82	60	11	7	7	5	16	13	3	3	14	8	6	4	2	2	8	3
2001	37	12.2	17.6	79	35	31	92	63	13	8	8	6	18	9	6	4	12	8	9	6	0	0	8	6
2001	38	12.9	16.8	85	18	49	98	71	6	5	17	12	30	26	6	4	13	8	5	5	0	0	9	7
2001	39	11.3	15.6	84	12	16	81	36	18	4	10	2	9	4	10	9	11	5	0	0	4	4	5	4
2001	40	13.3	17.5	85	26	25	95	42	7	2	9	7	22	8	9	8	13	5	9	1	2	0	10	5
2001	41	13.3	17.7	85	19	21	88	37	10	2	11	6	11	5	3	0	15	4	8	6	19	11	1	0
2001	42	11.5	17.4	86	17	1	112	51	10	5	9	1	21	7	6	3	21	10	8	3	6	4	14	8
2001	43	10.2	14	85	10	10	80	28	8	3	10	4	13	4	6	4	12	2	13	6	0	0	4	0
2001	44	10	14.7	83	15	15	130	59	23	10	15	14	25	9	8	4	12	3	12	2	2	2	8	2
2001	45	5.2	10.6	80	25	23	122	24	15	1	17	2	20	4	3	3	22	1	3	3	0	0	17	2
2001	46	5.2	10.5	82	24	4	85	21	6	1	11	1	15	2	14	7	4	2	6	0	6	2	10	2
2001	47	4.4	10.1	83	19	19	107	18	13	3	11	1	13	0	6	3	18	7	9	1	11	3	5	0
2001	48	3.6	7.2	91	12	16	94	18	10	0	6	2	13	3	5	3	20	5	6	1	13	1	11	2
2001	49	2.8	7.8	93	7	9	56	19	9	4	10	6	9	3	7	3	6	0	11	3	1	0	1	0
2001	50	1.4	6.7	92	11	1	77	14	8	2	5	1	22	1	3	0	10	2	13	4	0	0	5	0
2001	51	-0.1	6.1	83	12	17	61	22	12	1	5	3	17	8	4	4	5	1	1	0	0	0	1	1
2001	52	-1.8	4.9	92	5	27	31	7	2	0	0	0	6	2	0	0	4	0	5	2	2	0	1	0
2002	1	-1.6	5.7	84	21.6	3	76	14	5	0	16	7	18	2	2	1	8	1	2	0	0	0	13	1
2002	2	1.7	4.8	94	2.8	1	94	23	9	0	15	1	16	4	6	5	12	5	4	0	2	0	9	3
2002	3	3.4	7.2	95	3.2	19	89	28	16	2	13	6	8	1	10	4	15	6	6	2	4	1	8	3
2002	4	4.8	8.2	88	6.3	47	94	20	10	1	19	4	8	1	5	1	16	4	7	2	14	4	4	0
2002	5	7.2	11.2	83	15.6	27	93	16	10	2	6	3	11	1	5	0	14	1	6	0	10	2	15	0
2002	6	6.3	9.2	87	12.2	29	92	15	10	1	6	3	24	2	2	0	14	1	14	4	0	0	5	0
2002	7	3.9	9	83	24.3	9	86	30	10	0	2	1	23	6	12	9	12	0	7	1	1	0	0	0
2002	8	1.1	6.6	81	30.2	36	81	15	13	1	14	1	20	5	5	3	9	1	2	2	0	0	5	1
2002	9	2.4	7.4	82	23.2	34	104	23	4	1	13	0	16	6	4	0	19	3	8	1	8	1	11	4
2002	10	5.4	9.1	79	31.7	21	95	18	9	4	17	0	10	0	9	7	13	2	4	2	5	0	12	1
2002	11	3.9	10	75	28	4	77	18	17	3	12	2	10	0	5	0	7	4	3	2	9	3	6	2
2002	12	3.8	10.7	73	42.5	9	86	18	9	1	9	1	10	2	3	0	19	4	3	0	8	3	11	0
2002	13	4.9	14.2	64	49.1	0	56	8	4	0	5	3	7	0	5	0	9	0	12	3	1	1	5	0
2002	14	6.5	16.2	58	55.8	0.25	76	17	9	0	5	4	27	3	1	1	7	0	14	3	1	1	4	0
2002	15	6.4	12.1	64	37.4	1	94	23	13	0	9	1	24	7	13	3	11	1	7	1	0	0	0	0
2002	16	6.5	15.1	78	24	2	86	14	8	2	13	0	17	0	3	0	17	4	3	0	3	1	6	2
2002	17	9.1	16.2	73	32.4	17	79	4	6	0	11	0	7	0	2	0	18	2	6	1	8	0	9	0
2002	18	9.6	14.4	77	14.8	22	74	18	14	0	9	0	14	5	5	1	4	1	4	4	0	0	6	0
2002	19	13	21.6	66	71.5	1	68	7	6	1	13	1	7	0	4	2	14	1	6	0	5	2	5	0
2002	20	12.5	19.4	68	NA	6	107	16	13	0	10	0	15	0	8	5	21	0	9	4	8	2	8	1
